team_id,year,gameorder,game_id,lg_id,iscopy,year_id,date_game,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,win_equiv,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast,notes,year
OKC,2008,54439.242424242424,200811090OKC,NBA,0.48484848484848486,2009.0,2008-11-09,17.0,0.0,OKC,Thunder,93.60606060606061,1288.9944272727269,1286.2120696969696,20.473975030303034,ATL,Hawks,102.21212121212122,1506.4637151515149,1509.2460636363635,H,L,0.2591389709393939,,2008
OKC,2009,55336.753086419754,200903290BOS,NBA,0.5061728395061729,2009.3950617283951,2009-03-29,41.60493827160494,0.0,OKC,Thunder,98.88888888888889,1385.1476753086417,1387.840939506173,29.60036408641975,BOS,Celtics,100.72839506172839,1514.6035283950612,1511.9102703703704,A,L,0.3452229099629629,,2009
OKC,2010,56669.25555555556,201001180ATL,NBA,0.4777777777777778,2010.3777777777777,2010-01-18,44.25555555555555,0.06666666666666667,OKC,Thunder,102.97777777777777,1567.6518544444439,1568.5886399999997,47.75526597777778,ATL,Hawks,99.66666666666667,1503.792046666666,1502.8552599999996,A,W,0.5833441531111111,,2010
OKC,2011,57836.81428571429,201103040ATL,NBA,0.5142857142857142,2011.0714285714287,2011-03-04,62.42857142857143,0.24285714285714285,OKC,Thunder,104.54285714285714,1623.7736771428572,1625.2535957142854,53.270213714285724,ATL,Hawks,100.52857142857142,1543.4894100000006,1542.0094900000004,A,W,0.591147679857143,,2011
OKC,2012,58969.117117117115,201203030ATL,NBA,0.4774774774774775,2012.2702702702702,2012-03-03,37.75675675675676,0.18018018018018017,OKC,Thunder,103.55855855855856,1676.1484405405404,1677.2989378378375,58.018595990990974,ATL,Hawks,96.93693693693693,1536.1939333333335,1535.0434333333324,A,L,0.6700485096396396,,2012
OKC,2013,60340.48936170213,201312100ATL,NBA,0.5212765957446809,2013.3297872340424,2013-12-10,46.829787234042556,0.11702127659574468,OKC,Thunder,104.7872340425532,1693.7169340425532,1694.2416840425526,59.421385287234045,ATL,Hawks,96.88297872340425,1524.0577085106388,1523.5329595744672,A,W,0.6968950069148936,,2013
OKC,2014,61680.16504854369,201401270OKC,NBA,0.5048543689320388,2014.3203883495146,2014-01-27,50.640776699029125,0.18446601941747573,OKC,Thunder,103.37864077669903,1640.4936262135918,1639.5033495145626,54.33189000970873,ATL,Hawks,100.33980582524272,1532.5078223300973,1533.4980941747574,H,W,0.6239306338834951,,2014
OKC,2015,62709.57142857143,201501230ATL,NBA,0.4897959183673469,2015.0,2015-01-23,58.0,0.0,OKC,Thunder,107.18367346938776,1596.7976612244904,1596.823424489796,50.47571753061226,ATL,Hawks,104.83673469387755,1515.168693877551,1515.1429326530615,A,L,0.5979876273469388,,2015
SEA,1967,7794.309523809524,196710240BAL,NBA,0.5952380952380952,1968.0,1967-10-24,21.5,0.0,SEA,Thunder,118.0,1296.5055023809527,1296.4722642857143,25.264115119047627,BAL,Wizards,125.0952380952381,1471.0167333333331,1471.0499642857144,A,L,0.2792031462619048,at Portland OR,1967
SEA,1968,8526.256097560976,196810250SEA,NBA,0.573170731707317,1968.5121951219512,1968-10-25,41.5,0.0,SEA,Thunder,114.98780487804878,1332.3735548780494,1331.9728756097559,29.07118923170731,ATL,Hawks,121.08536585365853,1449.153324390244,1449.5540048780485,H,W,0.34146358043902436,at Chicago IL,1968
SEA,1969,9583.39240506329,196901310ATL,NBA,0.569620253164557,1969.493670886076,1969-01-31,41.51898734177215,0.0,SEA,Thunder,114.64556962025317,1356.0628329113922,1356.49135443038,31.288150341772155,ATL,Hawks,118.79746835443038,1456.4187670886076,1455.9902430379755,A,W,0.3633516635063291,at Philadelphia PA,1969
SEA,1970,10689.734939759037,197001060ATL,NBA,0.5542168674698795,1970.4819277108434,1970-01-06,41.48192771084337,0.0,SEA,Thunder,116.0,1423.2121686746984,1423.8667108433726,38.277409337349404,ATL,Hawks,117.08433734939759,1454.0159867469881,1453.3614469879517,A,L,0.44677859469879516,at Philadelphia PA,1970
SEA,1971,11941.329268292682,197101200ATL,NBA,0.5121951219512195,1971.4878048780488,1971-01-20,41.5,0.0,SEA,Thunder,111.4390243902439,1454.7302743902437,1455.0141097560975,41.69416346341465,ATL,Hawks,111.86585365853658,1466.7445670731709,1466.4607304878054,A,W,0.4822810490975609, Edmundson Pavillion),1971
